Date,Open,High,Low,Close
05/25/2022,"110.39","111.68","109.23","110.33"
05/24/2022,"110.41","111.43","108.61","109.77"
05/23/2022,"110.56","111.96","109.15","110.29"
05/20/2022,"111.45","114.04","110.85","113.23"
05/19/2022,"109.09","112.62","105.13","112.21"
05/18/2022,"113.66","115.42","108.46","109.59"
05/17/2022,"113.87","115.56","111.75","112.40"
05/16/2022,"110.98","114.90","108.11","114.20"
05/13/2022,"106.65","110.64","106.29","110.49"
05/12/2022,"105.63","107.37","102.66","106.13"
05/11/2022,"99.00","106.44","98.20","105.71"
05/10/2022,"102.65","104.16","98.86","99.76"
05/09/2022,"110.43","110.49","102.13","103.09"
05/06/2022,"108.70","111.18","107.24","109.77"
05/05/2022,"107.58","111.37","106.45","108.26"
05/04/2022,"103.50","108.61","102.95","107.81"
05/03/2022,"105.08","105.80","102.10","102.41"
05/02/2022,"104.00","105.94","100.28","105.17"
04/29/2022,"105.17","107.99","103.78","104.69"
04/28/2022,"102.11","105.68","100.13","105.36"
04/27/2022,"101.76","102.99","99.80","102.02"
04/26/2022,"98.64","102.78","97.06","101.70"
04/25/2022,"101.38","101.55","95.28","98.54"
04/22/2022,"104.07","104.22","101.06","102.07"
04/21/2022,"102.50","105.42","102.01","103.79"
04/20/2022,"103.05","104.16","100.70","102.75"
04/19/2022,"107.75","108.92","102.07","102.56"
04/18/2022,"107.03","109.81","106.00","108.21"
04/14/2022,"104.20","107.64","102.12","106.95"
04/13/2022,"100.91","104.47","99.87","104.25"
04/12/2022,"95.17","101.35","94.84","100.60"
04/11/2022,"98.40","98.52","92.93","94.29"
04/08/2022,"97.17","98.76","95.29","98.26"
04/07/2022,"97.16","98.82","93.81","96.03"
04/06/2022,"101.24","104.02","95.73","96.23"
04/05/2022,"103.66","105.59","99.88","101.96"
04/04/2022,"98.95","103.94","98.05","103.28"
04/01/2022,"101.23","101.75","97.78","99.27"
03/31/2022,"107.45","107.80","99.66","100.28"
03/30/2022,"105.24","108.75","104.55","107.82"
03/29/2022,"103.47","107.84","98.44","104.24"
03/28/2022,"112.92","112.93","102.83","105.96"
03/25/2022,"111.75","114.12","108.68","113.90"
03/24/2022,"114.47","116.64","110.61","112.34"
03/23/2022,"108.85","115.40","108.38","114.93"
03/22/2022,"112.90","115.01","109.30","111.76"
03/21/2022,"105.13","112.69","104.08","112.12"
03/18/2022,"103.62","106.28","102.30","104.70"
03/17/2022,"95.34","104.24","94.85","102.98"
03/16/2022,"95.23","99.22","94.07","95.04"
03/15/2022,"102.28","102.58","93.53","96.44"
03/14/2022,"109.42","109.72","99.76","103.01"
03/11/2022,"105.99","110.29","104.48","109.33"
03/10/2022,"110.41","114.88","105.53","106.02"
03/09/2022,"124.66","126.84","103.63","108.70"
03/08/2022,"120.67","129.44","117.07","123.70"
03/07/2022,"121.33","130.50","115.54","119.40"
03/04/2022,"107.96","116.02","107.25","115.68"
03/03/2022,"111.33","116.57","106.43","107.67"
03/02/2022,"107.12","112.51","105.18","110.60"
03/01/2022,"96.09","106.78","95.32","103.41"
02/28/2022,"94.99","99.10","94.43","95.72"
02/25/2022,"93.32","95.64","90.06","91.59"
02/24/2022,"92.52","100.54","91.45","92.81"
02/23/2022,"91.74","93.90","90.64","92.10"
02/22/2022,"94.54","96.00","92.00","92.35"
02/18/2022,"91.63","92.66","89.03","91.07"
02/17/2022,"90.90","93.36","90.62","91.76"
02/16/2022,"92.21","95.01","90.00","93.66"
02/15/2022,"94.83","95.17","90.66","92.07"
02/14/2022,"93.91","95.82","92.09","95.46"
02/11/2022,"90.00","94.66","89.19","93.10"
02/10/2022,"90.01","91.74","89.03","89.88"
02/09/2022,"89.86","90.58","88.41","89.66"
02/08/2022,"91.64","91.68","88.51","89.36"
02/07/2022,"91.82","92.73","90.73","91.32"
02/04/2022,"90.19","93.17","90.07","92.31"
02/03/2022,"87.98","90.45","86.75","90.27"
02/02/2022,"88.35","89.72","87.10","88.26"
02/01/2022,"88.15","88.87","86.55","88.20"
01/31/2022,"87.45","88.39","86.34","88.15"
01/28/2022,"87.50","88.84","86.44","86.82"
01/27/2022,"87.15","88.54","86.20","86.61"
01/26/2022,"85.26","87.95","85.01","87.35"
01/25/2022,"84.15","85.71","82.99","85.60"
01/24/2022,"84.91","86.09","81.90","83.31"
01/21/2022,"84.57","85.56","82.78","85.14"
01/20/2022,"86.23","87.82","86.00","86.90"
01/19/2022,"86.61","87.92","85.77","86.96"
01/18/2022,"84.28","86.63","84.11","85.43"
01/14/2022,"81.73","84.45","81.58","83.82"
01/13/2022,"82.82","82.94","81.39","82.12"
01/12/2022,"81.38","83.10","81.17","82.64"
01/11/2022,"78.42","81.59","78.36","81.22"
01/10/2022,"78.88","79.45","77.83","78.23"
01/07/2022,"79.62","80.47","78.52","78.90"
01/06/2022,"77.24","80.24","76.73","79.46"
01/05/2022,"77.18","78.58","76.51","77.85"
01/04/2022,"76.02","77.64","75.70","76.99"
01/03/2022,"75.69","76.46","74.27","76.08"
12/31/2021,"76.66","77.08","74.95","75.21"
12/30/2021,"76.58","77.44","75.78","76.99"
12/29/2021,"76.04","77.37","75.36","76.56"
12/28/2021,"75.97","76.92","75.53","75.98"
12/27/2021,"73.38","76.09","72.57","75.57"
12/23/2021,"73.03","73.95","72.27","73.79"
12/22/2021,"71.27","73.16","70.80","72.76"
12/21/2021,"69.21","71.55","68.56","71.12"
12/20/2021,"70.07","70.07","66.04","68.23"
12/17/2021,"71.92","72.26","69.89","70.86"
12/16/2021,"71.48","72.99","71.03","72.38"
12/15/2021,"70.35","71.66","69.39","70.87"
12/14/2021,"71.12","72.03","69.51","70.73"
12/13/2021,"72.04","73.00","70.71","71.29"
12/10/2021,"70.68","72.33","70.32","71.67"
12/09/2021,"72.52","73.34","70.39","70.94"
12/08/2021,"71.86","73.00","70.91","72.36"
12/07/2021,"69.72","73.03","69.52","72.05"
12/06/2021,"67.02","70.15","66.72","69.49"
12/03/2021,"67.50","69.22","65.60","66.26"
12/02/2021,"65.63","67.49","62.43","66.50"
12/01/2021,"67.01","69.49","64.84","65.57"
11/30/2021,"70.04","71.22","64.43","66.18"
11/29/2021,"69.23","72.93","68.86","69.95"
11/26/2021,"78.10","78.17","67.40","68.15"
11/24/2021,"78.48","79.23","77.98","78.39"
11/23/2021,"76.46","78.86","75.30","78.50"
11/22/2021,"75.75","77.16","74.76","76.75"
11/19/2021,"78.76","79.92","75.37","76.10"
11/18/2021,"78.34","79.36","77.08","79.01"
11/17/2021,"80.54","80.69","77.69","78.36"
11/16/2021,"80.93","81.81","80.03","80.76"
11/15/2021,"80.66","81.20","79.30","80.88"
11/12/2021,"81.21","81.62","79.78","80.79"
11/11/2021,"81.41","82.33","80.20","81.59"
11/10/2021,"84.53","84.97","80.81","81.34"
11/09/2021,"82.16","84.63","81.78","84.15"
11/08/2021,"81.13","82.67","81.05","81.93"
11/05/2021,"79.37","81.80","78.96","81.27"
11/04/2021,"80.18","83.42","78.25","78.81"
11/03/2021,"83.07","83.08","79.69","80.86"
11/02/2021,"83.87","84.41","82.92","83.91"
11/01/2021,"83.36","84.88","82.74","84.05"
10/29/2021,"83.09","83.74","81.41","83.57"
10/28/2021,"82.25","83.21","80.58","82.81"
10/27/2021,"84.39","84.51","82.01","82.66"
10/26/2021,"83.72","84.88","82.97","84.65"
10/25/2021,"83.98","85.41","83.39","83.76"
10/22/2021,"82.61","84.22","81.76","83.76"
10/21/2021,"83.58","83.96","80.79","82.50"
10/20/2021,"83.34","84.25","81.30","83.87"
10/19/2021,"82.37","83.74","81.80","82.96"
10/18/2021,"82.60","83.87","81.84","82.44"
10/15/2021,"81.48","82.66","81.39","82.28"
10/14/2021,"80.59","81.68","80.38","81.31"
10/13/2021,"80.58","81.04","79.42","80.44"
10/12/2021,"80.50","81.62","79.47","80.64"
10/11/2021,"79.59","82.18","79.55","80.52"
10/08/2021,"78.86","80.11","78.63","79.35"
10/07/2021,"77.00","78.89","74.96","78.30"
10/06/2021,"79.04","79.78","76.83","77.43"
10/05/2021,"77.58","79.48","77.47","78.93"
10/04/2021,"75.90","78.38","75.32","77.62"
10/01/2021,"75.12","75.99","74.23","75.88"
09/30/2021,"74.78","76.07","73.14","75.03"
09/29/2021,"74.38","75.79","73.74","74.83"
09/28/2021,"75.43","76.67","74.24","75.29"
09/27/2021,"74.19","75.75","74.16","75.45"
09/24/2021,"73.24","74.27","72.81","73.98"
09/23/2021,"71.97","73.50","71.61","73.30"
09/22/2021,"70.85","72.30","70.64","72.23"
09/21/2021,"70.59","71.63","69.67","70.56"
09/20/2021,"71.92","72.08","69.86","70.29"
09/17/2021,"72.62","72.72","71.21","71.97"
09/16/2021,"72.65","72.99","71.53","72.61"
09/15/2021,"70.76","73.14","70.65","72.61"
09/14/2021,"70.64","71.22","69.98","70.46"
09/13/2021,"69.74","70.97","69.51","70.45"
09/10/2021,"67.97","69.96","67.68","69.72"
09/09/2021,"69.36","69.89","67.56","68.14"
09/08/2021,"68.37","69.75","68.31","69.30"
09/07/2021,"68.88","69.42","67.64","68.35"
09/03/2021,"69.76","70.53","69.05","69.29"
09/02/2021,"68.29","70.61","67.84","69.99"
09/01/2021,"68.55","69.24","67.12","68.59"
08/31/2021,"69.18","69.34","68.16","68.50"
08/30/2021,"69.30","69.64","67.67","69.21"
08/27/2021,"67.75","69.05","67.52","68.74"
08/26/2021,"68.00","68.31","67.02","67.42"
08/25/2021,"67.63","68.54","66.92","68.36"
08/24/2021,"65.54","67.80","65.41","67.54"
08/23/2021,"61.96","66.00","61.74","65.64"
08/20/2021,"64.05","64.10","62.11","62.32"
08/19/2021,"64.58","64.76","62.63","63.69"
08/18/2021,"66.58","67.48","64.34","65.46"
08/17/2021,"67.43","67.72","66.33","66.59"
08/16/2021,"67.71","68.27","65.73","67.29"
08/13/2021,"68.91","69.22","67.77","68.44"
08/12/2021,"69.36","69.62","68.46","69.09"
08/11/2021,"68.51","69.45","66.67","69.25"
08/10/2021,"66.85","68.90","66.56","68.29"
08/09/2021,"67.88","67.90","65.15","66.48"
08/06/2021,"69.14","70.18","67.80","68.28"
08/05/2021,"68.06","69.35","67.61","69.09"
08/04/2021,"70.32","70.81","67.85","68.15"
08/03/2021,"71.52","71.96","69.19","70.56"
08/02/2021,"73.91","73.95","70.55","71.26"
07/30/2021,"73.41","74.23","72.93","73.95"
07/29/2021,"72.40","73.68","72.26","73.62"
07/28/2021,"71.90","72.60","71.70","72.39"
07/27/2021,"72.22","72.33","71.08","71.65"
07/26/2021,"72.18","72.43","70.56","71.91"
07/23/2021,"71.71","72.21","71.39","72.07"
07/22/2021,"70.22","72.03","69.86","71.91"
07/21/2021,"66.45","70.51","66.44","70.30"
07/20/2021,"66.60","67.65","65.21","67.42"
07/19/2021,"71.49","71.67","65.63","66.42"
07/16/2021,"71.48","72.30","70.41","71.81"
07/15/2021,"72.96","72.96","71.40","71.65"
07/14/2021,"75.17","75.44","72.21","73.13"
07/13/2021,"74.18","75.52","73.68","75.25"
07/12/2021,"74.74","74.93","73.16","74.10"
07/09/2021,"73.26","74.76","72.72","74.56"
07/08/2021,"72.17","73.26","70.76","72.94"
07/07/2021,"73.85","74.86","71.07","72.20"
07/06/2021,"76.35","76.98","72.94","73.37"
07/02/2021,"75.02","75.62","74.41","75.16"
07/01/2021,"73.50","76.22","73.39","75.23"
06/30/2021,"73.47","74.14","72.82","73.47"
06/29/2021,"72.78","73.81","71.97","72.98"
06/28/2021,"73.99","74.45","72.62","72.91"
06/25/2021,"73.32","74.18","72.85","74.05"
06/24/2021,"73.28","73.61","72.32","73.30"
06/23/2021,"72.91","74.25","72.82","73.08"
06/22/2021,"73.41","73.95","72.94","73.06"
06/21/2021,"71.52","73.96","71.15","73.66"
06/18/2021,"71.10","72.17","70.16","71.64"
06/17/2021,"71.65","72.30","69.77","71.04"
06/16/2021,"72.45","72.99","71.61","72.15"
06/15/2021,"71.16","72.49","70.81","72.12"
06/14/2021,"70.65","71.78","70.65","70.88"
06/11/2021,"70.10","71.24","69.68","70.91"
06/10/2021,"69.76","70.65","68.68","70.29"
06/09/2021,"70.01","70.62","69.46","69.96"
06/08/2021,"69.29","70.27","68.47","70.05"
06/07/2021,"69.52","70.00","68.93","69.23"
06/04/2021,"68.91","69.76","68.33","69.62"
06/03/2021,"68.76","69.40","68.19","68.81"
06/02/2021,"67.99","69.00","67.78","68.83"
06/01/2021,"67.06","68.87","66.89","67.72"
05/28/2021,"66.95","67.52","66.17","66.32"
05/27/2021,"66.16","66.92","65.47","66.85"
05/26/2021,"66.04","66.43","65.25","66.21"
05/25/2021,"66.02","66.51","65.41","66.07"
